¹Û²âÈÕÆÚ,TP13,TP18,TP29
2019/12/15,3867.420046,5998.292289,47.52799175
2019/12/16,3872.077526,6001.353721,48.36558694
2019/12/17,3870.713694,6002.06053,50.06006392
2019/12/18,3873.679803,6005.913134,49.7881512
2019/12/19,3875.835411,6006.975121,48.15070093
2019/12/20,3876.471388,6010.250531,51.52717729
2019/12/21,3876.104134,6004.970226,53.54185279
2019/12/22,3876.921874,6007.745985,52.2613624
2019/12/23,3879.079975,6016.058099,55.63146592
2019/12/24,3882.044361,6015.616308,54.67897219
2019/12/25,3883.387987,6014.40216,55.1138821
2019/12/26,3881.710977,6012.968414,52.19013317
2019/12/27,3882.350069,6013.231133,56.84197393
2019/12/28,3885.080967,6014.546934,56.14276445
2019/12/29,3881.516449,6013.487273,59.86225856
2019/12/30,3883.938078,6019.28412,62.43788914
2019/12/31,3883.505491,6022.922821,64.60742991
2020/1/1,3886.124377,6027.371202,67.41186839
2020/1/2,3887.89847,6029.847967,70.51482114
2020/1/3,3889.33393,6029.676978,69.20187859
2020/1/4,3893.225553,6035.058848,68.72219438
2020/1/5,3898.872946,6035.687205,68.17873569
2020/1/6,3895.36185,6035.573983,71.42380556
2020/1/7,3896.095506,6035.642936,70.5866843
2020/1/8,3895.029266,6036.460841,74.86013625
2020/1/9,3896.825666,6035.093909,76.59516956
2020/1/10,3895.149806,6034.545452,77.1757734
2020/1/11,3900.187124,6040.180468,79.35420594
2020/1/12,3898.839966,6039.211363,79.64772439
2020/1/13,3900.759038,6041.586103,81.04177935
2020/1/14,3903.493703,6043.720234,82.29641547
2020/1/15,3903.706062,6045.544932,79.6297683
2020/1/16,3903.947555,6042.539104,80.63950645
2020/1/17,3906.565951,6042.227124,79.56418792
2020/1/18,3906.474626,6045.825011,79.78784369
2020/1/19,3907.741189,6048.091595,80.6265465
2020/1/20,3907.680851,6049.828333,81.91812986
2020/1/21,3908.664644,6049.275307,86.20771427
2020/1/22,3906.370731,6049.90052,86.14238214
2020/1/23,3910.722325,6052.353682,83.86590487
2020/1/24,3911.515601,6055.440792,84.03868157
2020/1/25,3910.127663,6050.25704,83.37709518
2020/1/26,3911.197107,6049.786643,81.45937638
2020/1/27,3916.49873,6053.020771,86.43749187
2020/1/28,3916.620571,6053.842192,88.05072402
2020/1/29,3916.689406,6057.946211,86.55749534
